Name,Comment,Designator,Footprint,JLCPCB Part #?optional?
0,1UF 0402,"C1, C13, C14, C15, C16",CAPC0402(1005)_L,C52923
0.1uF,22uF 0603 10V,"C2, C5, C6, C7, C8, C10, C11, C12, C18, C19",CAPC0603(1608)_L,C84419
1K,0.1uF 0402 16V,"C3, C4, C9, C17, C20, C23",CAPC0402(1005)_L,C1525
1uF,USB Type-C 2.0 3A 30V,CN1,USB-C-SMD_TYPE-C16PIN,C393939
5.1K,SMT Neopixel Wire,"CN2, CN3",SMT_Neopixel_Wire,-
10K,Battery Contact,CN4,SMT_Battery,-
22uF,PTVS5V0S1UR,"D1, D2",SOD123,C5380694
600mA Fixed 3.3V,"2.2uH 4A SMD,4.2x4.4mm",L1,INDP4444X20N,C167206
Battery Contact,Blue 0402 3.3V,"LED1, LED2, LED3, LED4, LED5",LED_0402,C22355736
Blue,Neopixel,LED6,WS2812C-2020,C2976072
Espressif Systems',5.1K 0402,"R1, R4",RESC0402(1005)_L,C25905
FXL0420-2R2-M,0.0 0402,"R13, R39",RESC0402(1005)_L,C17168
IP5305T,10K 0402,"R2, R3, R6, R8, R10",RESC0402(1005)_L,C25744
PTVS5V0S1UR,1K 0402,"R5, R7, R47",RESC0402(1005)_L,C11702
SMT Neopixel Wire,"SMD,3x4x2mm Tactile Switches ROHS","SW1, SW2, SW3, SW4",TS-1088-AR02016,C720477
SN74LV1T34DBVR,ESP32-C3,U1,WIFIM-SMD_61P-L13.2-W12.5-P0.80,C2911374
Tact Switch,Level Shifter - single output,"U2, U5",SOT23-5,C100024
TYPE-C16PIN,IP5305T,U3,SOP127P600X175_HS-9N_no_vias,C2982924
WS2812C-2020,600mA Fixed 3.3V,U4,SOT95P285X130-5N,C51118
